id,premise,hypothesis,expected,predicted,correct,reason,
299,Smith lived in Birmingham for two years.,Smith lived in Birmingham for exactly a year.,no,no,1,,
300,Smith lived in Birmingham for two years.,Smith lived in Birmingham.,yes,yes,1,,
301,Smith ran his own business for two years.,Smith ran his own business for a year.,yes,yes,1,,
302,Smith ran his own business for two years.,Smith ran his own business.,yes,yes,1,,
303,Smith wrote a report for two hours.,Smith wrote a report for an hour.,yes,yes,1,,
306,Smith discovered new species for two years.,Smith discovered new species.,yes,yes,1,,
326,ITEL built MTALK in 1993.,ITEL finished MTALK in 1993.,yes,unknown,0,world knowledge,
328,ITEL won the contract from APCOM in 1993.,ITEL won a contract in 1993.,yes,unknown,0,skolemization,
330,ITEL owned APCOM from 1988 to 1992.,ITEL owned APCOM in 1990.,yes,unknown,0,temporal knowledge,
331,Smith and Jones left the meeting.,Smith left the meeting.,yes,yes,1,,
332,Smith and Jones left the meeting.,Jones left the meeting.,yes,yes,1,,
333,"Smith, Anderson and Jones met.",There was a group of people that met.,yes,unknown,0,world knowledge,
334,Smith knew that ITEL had won the contract in 1992.,ITEL won the contract in 1992.,yes,unknown,0,? (clausal),
336,ITEL managed to win the contract in 1992.,ITEL won the contract in 1992.,yes,unknown,0,? (clausal),
338,It is true that ITEL won the contract in 1992.,ITEL won the contract in 1992.,yes,unknown,0,? (clausal),
339,It is false that ITEL won the contract in 1992.,ITEL won the contract in 1992.,no,unknown,0,? (clausal),
342,Smith saw Jones sign the contract.,Jones signed the contract.,yes,unknown,0,? (clausal),
345,Smith saw Jones sign the contract and his secretary make a copy.,Smith saw Jones sign the contract.,yes,error,0,C edge + and,
346,Smith saw Jones sign the contract or cross out the crucial clause.,Smith either saw Jones sign the contract or saw Jones cross out the crucial clause.,yes,error,0,C edge + and,
