section,subsection,problem_id,fracas_answer,fracas_nonstandard,multiple_p,p,h,a,include,comment,inference_possible,minimal_layers
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),78,undef,TRUE,0,Neither commissioner spends a lot of time at home.,One of the female commissioners spends a lot of time at home.,"No, if both commissioners are female; otherwise there are more than two commissioners.",,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),79,unknown,,0,At least three commissioners spend time at home.,At least three male commissioners spend time at home.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),80,yes,,0,At most ten commissioners spend time at home.,At most ten female commissioners spend time at home.,Yes,1,generalized quantifier,1,"temp, quant, num, def, loc"
2 PLURALS,2.1 Conjoined Noun Phrases,81,yes,,0,"Smith, Jones and Anderson signed the contract.",Jones signed the contract.,Yes,done,,1,"temp, quant, num, def"
2 PLURALS,2.1 Conjoined Noun Phrases,82,yes,,0,"Smith, Jones and several lawyers signed the contract.",Jones signed the contract.,Yes,done,several?,1,"temp, quant, num, def"
2 PLURALS,2.1 Conjoined Noun Phrases,83,unknown,,0,"Either Smith, Jones or Anderson signed the contract.",Jones signed the contract.,Don't know,,,,
2 PLURALS,2.1 Conjoined Noun Phrases,84,yes,,0,"Either Smith, Jones or Anderson signed the contract.","If Smith and Anderson did not sign the contract, Jones signed the contract.",Yes,1,exclusive disjuction?,1,"temp, quant, num, def, neg, CONSEQUENCE "
2 PLURALS,2.1 Conjoined Noun Phrases,85,no,,0,Exactly two lawyers and three accountants signed the contract.,Six lawyers signed the contract.,No,done,,1,"temp, quant, num, def"
2 PLURALS,2.1 Conjoined Noun Phrases,86,no,,0,Exactly two lawyers and three accountants signed the contract.,Six accountants signed the contract.,No,done,,1,"temp, quant, num, def"
2 PLURALS,2.1 Conjoined Noun Phrases,87,yes,TRUE,0,Every representative and client was at the meeting.,Every representative was at the meeting.,"Yes, on one reading",1,,1,"temp, quant, num, def, loc"
2 PLURALS,2.1 Conjoined Noun Phrases,88,unknown,TRUE,0,Every representative and client was at the meeting.,Every representative was at the meeting.,"Don't know, on one reading",,,,
2 PLURALS,2.1 Conjoined Noun Phrases,89,yes,,0,Every representative or client was at the meeting.,Every representative and every client was at the meeting.,Yes,1,,1,"temp, quant, num, def, loc"
2 PLURALS,2.2 Definite Plurals,90,yes,,0,The chairman read out the items on the agenda.,The chairman read out every item on the agenda.,Yes,1,generic,1,"temp, quant, num, def"
2 PLURALS,2.2 Definite Plurals,91,unknown,,0,The people who were at the meeting voted for a new chairman.,Everyone at the meeting voted for a new chairman.,Don't know,,,,
2 PLURALS,2.2 Definite Plurals,92,yes,,0,All the people who were at the meeting voted for a new chairman.,Everyone at the meeting voted for a new chairman.,Yes,1,,1,"temp, quant, num, def, loc"
2 PLURALS,2.2 Definite Plurals,93,yes,,0,The people who were at the meeting all voted for a new chairman.,Everyone at the meeting voted for a new chairman.,Yes,1,,1,"temp, quant, num, def, loc"
2 PLURALS,2.2 Definite Plurals,94,unknown,,0,The inhabitants of Cambridge voted for a Labour MP.,Every inhabitant of Cambridge voted for a Labour MP.,Don't know,,,,
2 PLURALS,2.2 Definite Plurals,95,unknown,,0,The Ancient Greeks were noted philosophers.,Every Ancient Greek was a noted philosopher.,Don't know,,,,
2 PLURALS,2.2 Definite Plurals,96,yes,,0,The Ancient Greeks were all noted philosophers.,Every Ancient Greek was a noted philosopher.,Yes,1,,1,"temp, quant, num, def"
2 PLURALS,2.3 Bare Plurals,97,yes,,0,Software faults were blamed for the system failure.,The system failure was blamed on one or more software faults.,Yes,1,,1,"temp, quant, num, def, mod"
2 PLURALS,2.3 Bare Plurals,98,unknown,,1,Software faults were blamed for the system failure. Bug # 32-985 is a known software fault.,Bug # 32-985 was blamed for the system failure.,Don't know,,,,
2 PLURALS,2.3 Bare Plurals,99,yes,,1,Clients at the demonstration were all impressed by the system's performance. Smith was a client at the demonstration.,Smith was impressed by the system's performance.,Yes,,,,
2 PLURALS,2.3 Bare Plurals,100,yes,,0,Clients at the demonstration were impressed by the system's performance.,Most clients at the demonstration were impressed by the system's performance.,Yes,1,(quasi) universal bare plural,1,"temp, quant, num, def, loc"
2 PLURALS,2.3 Bare Plurals,101,yes,,1,University graduates make poor stock-market traders. Smith is a university graduate.,Smith is likely to make a poor stock market trader.,Yes,,,,
2 PLURALS,2.3 Bare Plurals,102,unknown,,1,University graduates make poor stock-market traders. Smith is a university graduate.,Smith will make a poor stock market trader.,Don't know,,,,
2 PLURALS,2.4 Dependent Plurals,103,yes,,1,All APCOM managers have company cars. Jones is an APCOM manager.,Jones has a company car.,Yes,,,,
2 PLURALS,2.4 Dependent Plurals,104,unknown,,1,All APCOM managers have company cars. Jones is an APCOM manager.,Jones has more than one company car.,Don't know,,,,
2 PLURALS,2.5 Negated Plurals,105,no,,0,Just one accountant attended the meeting.,No accountants attended the meeting.,No,done,,1,"temp, quant, num, def, neg"
2 PLURALS,2.5 Negated Plurals,106,no,,0,Just one accountant attended the meeting.,No accountant attended the meeting.,No,done,,1,"temp, quant, num, def, neg"
2 PLURALS,2.5 Negated Plurals,107,yes,,0,Just one accountant attended the meeting.,Some accountants attended the meeting.,Yes,done,mistake in converting from Q to A?,?,"temp, quant, num, def"
2 PLURALS,2.5 Negated Plurals,108,yes,,0,Just one accountant attended the meeting.,Some accountant attended the meeting.,Yes,done,mistake in converting from Q to A?,?,"temp, quant, num, def"
2 PLURALS,2.5 Negated Plurals,109,no,TRUE,0,Just one accountant attended the meeting.,Some accountants attended the meeting.,"No, just one",1,,1,"temp, quant, num, def"
2 PLURALS,2.5 Negated Plurals,110,yes,,0,Just one accountant attended the meeting.,Some accountant attended the meeting.,Yes,1,,1,"temp, quant, num, def"
2 PLURALS,2.6 Collective and Distributive Plurals,111,yes,TRUE,1,Smith signed one contract. Jones signed another contract.,Smith and Jones signed two contracts.,"Yes, on a collective/cumulative reading of the conclusion.",,,,
2 PLURALS,2.6 Collective and Distributive Plurals,112,yes,TRUE,1,Smith signed two contracts. Jones signed two contracts.,Smith and Jones signed two contracts.,"Yes, on a distributive reading of ""Smith and Jones"".",,,,
2 PLURALS,2.6 Collective and Distributive Plurals,113,yes,,1,Smith signed two contracts. Jones also signed them.,Smith and Jones signed two contracts.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.1 Intra-Sentential,114,yes,,0,Mary used her workstation.,Mary's workstation was used.,Yes,1,,1,"temp, quant, num, def"
3 (NOMINAL) ANAPHORA,3.1 Intra-Sentential,115,yes,,0,Mary used her workstation.,Mary has a workstation.,Yes,1,,1,"temp, quant, num, def"
3 (NOMINAL) ANAPHORA,3.1 Intra-Sentential,116,yes,,0,Mary used her workstation.,Mary is female.,Yes,,gender,0,"temp, quant, num, def"
3 (NOMINAL) ANAPHORA,3.1 Intra-Sentential,117,yes,,1,Every student used her workstation. Mary is a student.,Mary used her workstation.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.1 Intra-Sentential,118,yes,,1,Every student used her workstation. Mary is a student.,Mary has a workstation.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.1 Intra-Sentential,119,no,,1,No student used her workstation. Mary is a student.,Mary used a workstation.,No,,,,
3 (NOMINAL) ANAPHORA,3.2 Inter-Sentential,120,yes,,1,Smith attended a meeting. She chaired it.,Smith chaired a meeting.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.2 Inter-Sentential,121,yes,,1,Smith delivered a report to ITEL. She also delivered them an invoice. And she delivered them a project proposal.,"Smith delivered a report, an invoice and a project proposal to ITEL.",Yes,,,,
3 (NOMINAL) ANAPHORA,3.2 Inter-Sentential,122,yes,,1,Every committee has a chairman. He is appointed its members.,Every committee has a chairman appointed by members of the committee.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,123,yes,,1,ITEL has sent most of the reports Smith needs. They are on her desk.,There are some reports from ITEL on Smith's desk.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,124,yes,,1,Two out of ten machines are missing. They have been removed.,Two machines have been removed.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,125,unknown,,1,Two out of ten machines are missing. They have been removed.,Eight machines have been removed.,Don't know,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,126,yes,,1,Two out of ten machines are missing. They were all here yesterday.,Ten machines were here yesterday.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,127,yes,TRUE,1,"Smith took a machine on Tuesday, and Jones took a machine on Wednesday. They put them in the lobby.",Smith and Jones put two machines in the lobby.,"Yes, on a distributive reading of the question.",,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,128,yes,,1,John and his colleagues went to a meeting. They hated it.,John's colleagues hated the meeting.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,129,yes,TRUE,1,John and his colleagues went to a meeting. They hated it.,John hated the meeting.,"Yes, on one possible reading",,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,130,unknown,TRUE,1,John and his colleagues went to a meeting. They hated it.,John hated the meeting.,"Don't know, on one possible reading",,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,131,yes,,1,Each department has a dedicated line. They rent them from BT.,Every department rents a line from BT.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.3 Plural Anaphora,132,yes,,1,Each department has a dedicated line. The sales department rents it from BT.,The sales department rents a line from BT.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.4 E-type and Donkey Pronouns,133,yes,,1,GFI owns several computers. ITEL maintains them.,ITEL maintains all the computers that GFI owns.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.4 E-type and Donkey Pronouns,134,yes,,1,Every customer who owns a computer has a service contract for it. MFI is a customer that owns exactly one computer.,MFI has a service contract for all its computers.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.4 E-type and Donkey Pronouns,135,yes,,1,Every customer who owns a computer has a service contract for it. MFI is a customer that owns several computers.,MFI has a service contract for all its computers.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.4 E-type and Donkey Pronouns,136,unknown,,1,Every executive who had a laptop computer brought it to take notes at the meeting. Smith is a executive who owns five different laptop computers.,Smith took five laptop computers to the meeting.,Don't know,,,,
3 (NOMINAL) ANAPHORA,3.4 E-type and Donkey Pronouns,137,yes,,1,There are 100 companies. ICM is one of the companies and owns 150 computers. It does not have service contracts for any of its computers. Each of the other 99 companies owns one computer. They have service contracts for them.,Most companies that own a computer have a service contract for it.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.5 Functional and Subsectional,138,yes,,1,Every report has a cover page. R-95-103 is a report. Smith signed the cover page.,Smith signed the cover page of R-95-103.,Yes,,,,
3 (NOMINAL) ANAPHORA,3.6 Simple Reflexives,139,yes,,0,A company director awarded himself a large payrise.,A company director has awarded and been awarded a payrise.,Yes,1,if e1=e2,1,"temp, quant, num, def"
3 (NOMINAL) ANAPHORA,3.6 Simple Reflexives,140,yes,,0,John said Bill had hurt himself.,John said Bill had been hurt.,Yes,,,1,"temp, quant, num, def"
3 (NOMINAL) ANAPHORA,3.6 Simple Reflexives,141,unknown,,0,John said Bill had hurt himself.,Someone said John had been hurt.,Don't know,,,,
4 ELLIPSIS,4.1 VP Ellipsis,142,yes,,1,John spoke to Mary. So did Bill.,Bill spoke to Mary.,Yes,,,,
4 ELLIPSIS,4.1 VP Ellipsis,143,unknown,,1,John spoke to Mary. So did Bill. John spoke to Mary at four o'clock.,Bill spoke to Mary at four o'clock.,Don't know,,,,
4 ELLIPSIS,4.1 VP Ellipsis,144,yes,,1,John spoke to Mary at four o'clock. So did Bill.,Bill spoke to Mary at four o'clock.,Yes,,,,
4 ELLIPSIS,4.1 VP Ellipsis,145,yes,,1,John spoke to Mary at four o'clock. And Bill did at five o'clock.,Bill spoke to Mary at five o'clock.,Yes,,,,
4 ELLIPSIS,4.1 VP Ellipsis,146,yes,,1,John has spoken to Mary. Bill is going to.,Bill will speak to Mary.,Yes,,,,
4 ELLIPSIS,4.1 VP Ellipsis,147,no,,1,John spoke to Mary on Monday. Bill didn't.,Bill spoke to Mary on Monday.,No,,,,
